ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,SubGroup
Apuri,Apurí-Madean-Viñac,apur1253,Apurí,,South America,-12.89,-75.81,Quechuan,Quechua
Apurimac,Eastern-Apurímac,east2551,Eastern Apurímac Quechua,qve,South America,-13.89,-73.14,Quechuan,Quechua
Ayacucho,Ayacucho,ayac1239,Ayacucho Quechua,quy,South America,-13.85,-74.32,Quechuan,Quechua
Azuay,Azuay,azua1234,Azuay Highland Quichua,,South America,-2.9,-79,Quechuan,Quechua
Cacra-Hongos,Cacra-Hongos,cacr1238,Cacra-Hongos,,South America,-12.81,-75.78,Quechuan,Quechua
Cajamarca,Cajamarca,caja1238,Cajamarca Quechua,qvc,South America,-7.09,-78.32,Quechuan,Quechua
Chachapoyas,Chachapoyas,chac1250,Chachapoyas Quechua,quk,South America,-6.27,-77.66,Quechuan,Quechua
Chimborazo,Chimborazo,nort3351,North Chimborazo Highland Quichua,,South America,-1.37,-78.85,Quechuan,Quechua
Cuzco,Cuzco,cusc1236,Cusco Quechua,quz,South America,-14.09,-71.77,Quechuan,Quechua
Ferrenafe,Lambayeque,lamb1276,Lambayeque Quechua,quf,South America,-6.17,-79.47,Quechuan,Quechua
Huallaga,Huallaga-Huánuco,hual1241,Huallaga Huánuco Quechua,qub,South America,-9.57,-75.59,Quechuan,Quechua
Huanca,Jauja-Huanca,huay1241,Huaylla Wanca Quechua,qvw,South America,-11.77,-75.49,Quechuan,Quechua
Huangascar,Chocos-Huangáscar,azan1238,Azángaro-Huangáscar-Chocos,,South America,-12.9,-75.83,Quechuan,Quechua
HuarazHuailas,Huaraz-Huailas,huai1241,Huailas,,South America,-9.52,-77.52,Quechuan,Quechua
Inga,Colombian Inga,inga1252,Colombian Inga,inb,South America,1.17,-76.96,Quechuan,Quechua
Laraos,Laraos,yauy1235,Huangascar-Topara-Yauyos Quechua,qux,South America,-13.11,-75.77,Quechuan,Quechua
Lincha-Tana,Lincha-Tana,tana1291,Tana-Lincha,,South America,-12.8,-75.66,Quechuan,Quechua
Pacaraos,Pacaraos,paca1245,Pacaraos Quechua,qvp,South America,-11.14,-76.73,Quechuan,Quechua
Pastaza,Pastaza,sout2990,Southern Pastaza Quechua,qup,South America,-4.79,-76.53,Quechuan,Quechua
SanMartin,Lamas,sanm1289,San Martín Quechua,qvs,South America,-6.42,-76.52,Quechuan,Quechua
SanPedro,Liscay-San Pedro,sanp1258,San Pedro de Huacarpana,,South America,-13.09,-75.74,Quechuan,Quechua
Santiagueno,Santiago del Estero,sant1432,Santiago del Estero Quichua,qus,South America,-27.79,-64.25,Quechuan,Quechua
Tarma,Yaru,nort2980,North Junín Quechua,qvn,South America,-11.42,-75.68,Quechuan,Quechua
Imbabura,Imbabura,imba1240,Imbabura Highland Quichua,qvi,South America,-0.23,-78.26,Quechuan,Quechua
