ID	Name	SubGroup	Glottocode	Latitude	Longitude
Apuri	Apurí-Madean-Viñac	Quechua	apur1253	-12.89	-75.81
Apurimac	Eastern-Apurímac	Quechua	east2551	-13.89	-73.14
Ayacucho	Ayacucho	Quechua	ayac1239	-13.85	-74.32
Azuay	Azuay	Quechua	azua1234	-2.9	-79
Cacra-Hongos	Cacra-Hongos	Quechua	cacr1238	-12.81	-75.78
Cajamarca	Cajamarca	Quechua	caja1238	-7.09	-78.32
Chachapoyas	Chachapoyas	Quechua	chac1250	-6.27	-77.66
Chimborazo	Chimborazo	Quechua	nort3351	-1.37	-78.85
Cuzco	Cuzco	Quechua	cusc1236	-14.09	-71.77
Ferrenafe	Lambayeque	Quechua	lamb1276	-6.17	-79.47
Huallaga	Huallaga-Huánuco	Quechua	hual1241	-9.57	-75.59
Huanca	Jauja-Huanca	Quechua	huay1241	-11.77	-75.49
Huangascar	Chocos-Huangáscar	Quechua	azan1238	-12.9	-75.83
HuarazHuailas	Huaraz-Huailas	Quechua	huai1241	-9.52	-77.52
Inga	Colombian Inga	Quechua	inga1252	1.17	-76.96
Laraos	Laraos	Quechua	yauy1235	-13.11	-75.77
Lincha-Tana	Lincha-Tana	Quechua	tana1291	-12.8	-75.66
Pacaraos	Pacaraos	Quechua	paca1245	-11.14	-76.73
Pastaza	Pastaza	Quechua	sout2990	-4.79	-76.53
SanMartin	San Martín	Quechua	sanm1289	-6.42	-76.52
SanPedro	Liscay-San Pedro	Quechua	sanp1258	-13.09	-75.74
Santiagueno	Santiago del Estero	Quechua	sant1432	-27.79	-64.25
Tarma	Yaru	Quechua	nort2980	-11.42	-75.68
Imbabura	Imbabura	Quechua	imba1240	-0.23	-78.26
